1.['generalized_linear', 'sum', '4', '256', 'leaky_relu', 'generalized_linear', 'sum', '4', '64', 'tanh']: feedback:186.0052 L_1:8.6848 L_2:6.8247 M_1:-0.1850 M_2:-0.8756 S_1:8.7772 S_2:7.2625
5.['const', 'sum', '16', '128', 'elu', 'const', 'sum', '4', '64', 'tanh']: feedback:208.0696 L_1:8.5878 L_2:6.5071 M_1:-0.1919 M_2:-0.8661 S_1:8.7413 S_2:7.2000
1.['cos', 'max', '16', '128', 'tanh', 'gat', 'mlp', '8', '32', 'linear']: feedback:187.4272 L_1:8.8407 L_2:6.9665 M_1:-0.0193 M_2:-0.7450 S_1:8.8562 S_2:7.5624
2.['const', 'max', '1', '128', 'relu6', 'gat', 'sum', '4', '16', 'elu']: feedback:173.2643 L_1:8.7968 L_2:7.0641 M_1:-0.1462 M_2:-0.7907 S_1:8.9137 S_2:7.6967
3.['gcn', 'max', '6', '16', 'linear', 'const', 'max', '4', '128', 'tanh']: feedback:143.3115 L_1:8.7964 L_2:7.3632 M_1:-0.0469 M_2:-0.5674 S_1:8.8339 S_2:7.8172
4.['gcn', 'sum', '6', '64', 'elu', 'gat', 'mean', '4', '32', 'elu']: feedback:184.8461 L_1:8.5970 L_2:6.7485 M_1:-0.2128 M_2:-0.8066 S_1:8.7672 S_2:7.3938
5.['const', 'mean', '8', '128', 'relu6', 'const', 'sum', '16', '16', 'elu']: feedback:232.2553 L_1:8.7599 L_2:6.4373 M_1:-0.1922 M_2:-0.8711 S_1:8.9136 S_2:7.1342
1.['linear', 'mean', '4', '64', 'tanh', 'cos', 'sum', '4', '256', 'tanh']: feedback:192.1766 L_1:8.5072 L_2:6.5855 M_1:-0.2048 M_2:-0.8415 S_1:8.7120 S_2:7.4270
2.['cos', 'sum', '4', '128', 'tanh', 'cos', 'mlp', '16', '32', 'tanh']: feedback:208.3198 L_1:8.8152 L_2:6.7320 M_1:-0.0141 M_2:-0.8004 S_1:8.8293 S_2:7.5324
3.['linear', 'sum', '16', '32', 'elu', 'generalized_linear', 'mean', '4', '8', 'linear']: feedback:223.7506 L_1:8.8533 L_2:6.6158 M_1:-0.2084 M_2:-0.8243 S_1:9.0616 S_2:7.4401
4.['generalized_linear', 'mean', '4', '128', 'leaky_relu', 'linear', 'sum', '4', '256', 'tanh']: feedback:200.1869 L_1:8.5897 L_2:6.5878 M_1:-0.1675 M_2:-0.8368 S_1:8.7572 S_2:7.4246
5.['const', 'mean', '16', '128', 'relu6', 'cos', 'sum', '4', '64', 'tanh']: feedback:221.6817 L_1:8.5931 L_2:6.3763 M_1:-0.1743 M_2:-0.8856 S_1:8.7674 S_2:7.2619
1.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '6', '16', 'relu6']: feedback:174.3271 L_1:8.7707 L_2:7.0275 M_1:-0.0978 M_2:-0.6862 S_1:8.8685 S_2:7.7137
2.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:219.9015 L_1:8.6040 L_2:6.4049 M_1:-0.1732 M_2:-0.8865 S_1:8.7772 S_2:7.2914
3.['const', 'max', '2', '128', 'relu6', 'linear', 'sum', '4', '128', 'tanh']: feedback:208.0075 L_1:8.6190 L_2:6.5389 M_1:-0.1493 M_2:-0.8655 S_1:8.7683 S_2:7.4045
4.['cos', 'sum', '4', '128', 'leaky_relu', 'linear', 'mean', '8', '32', 'leaky_relu']: feedback:212.2749 L_1:8.7117 L_2:6.5890 M_1:-0.1037 M_2:-0.7755 S_1:8.8154 S_2:7.3644
5.['gcn', 'sum', '6', '64', 'elu', 'linear', 'mean', '4', '64', 'leaky_relu']: feedback:201.3170 L_1:8.6491 L_2:6.6359 M_1:-0.1196 M_2:-0.7338 S_1:8.7687 S_2:7.3697
1.['gcn', 'sum', '1', '128', 'tanh', 'const', 'mean', '4', '64', 'elu']: feedback:184.2632 L_1:8.5160 L_2:6.6734 M_1:-0.2204 M_2:-0.8152 S_1:8.7364 S_2:7.4886
2.['cos', 'sum', '4', '64', 'linear', 'generalized_linear', 'mean', '8', '8', 'relu6']: feedback:200.2161 L_1:8.8482 L_2:6.8461 M_1:-0.1142 M_2:-0.7216 S_1:8.9624 S_2:7.5676
3.['cos', 'sum', '4', '64', 'tanh', 'gcn', 'sum', '6', '64', 'elu']: feedback:201.1906 L_1:8.5312 L_2:6.5193 M_1:-0.2132 M_2:-0.8384 S_1:8.7444 S_2:7.3576
4.['gcn', 'max', '6', '128', 'elu', 'gat', 'mean', '16', '64', 'relu6']: feedback:222.3137 L_1:8.6964 L_2:6.4732 M_1:-0.0896 M_2:-0.7671 S_1:8.7859 S_2:7.2403
5.['gcn', 'sum', '16', '64', 'linear', 'gat', 'mean', '8', '32', 'leaky_relu']: feedback:243.6976 L_1:8.6908 L_2:6.2538 M_1:-0.1122 M_2:-0.8076 S_1:8.8030 S_2:7.0614
1.['cos', 'mean', '4', '64', 'tanh', 'linear', 'sum', '8', '64', 'relu6']: feedback:164.6789 L_1:8.7212 L_2:7.0744 M_1:-0.1101 M_2:-0.7180 S_1:8.7762 S_2:7.4334
2.['const', 'max', '4', '8', 'tanh', 'generalized_linear', 'sum', '4', '8', 'elu']: feedback:112.5049 L_1:8.9678 L_2:7.8427 M_1:-0.1645 M_2:-0.6921 S_1:9.0500 S_2:8.1887
3.['cos', 'sum', '6', '64', 'tanh', 'linear', 'max', '8', '32', 'tanh']: feedback:180.6907 L_1:8.8595 L_2:7.0526 M_1:-0.0428 M_2:-0.7023 S_1:8.8809 S_2:7.4037
4.['gat', 'mean', '16', '256', 'tanh', 'const', 'mean', '4', '8', 'elu']: feedback:203.1266 L_1:8.9904 L_2:6.9591 M_1:-0.1881 M_2:-0.8210 S_1:9.0845 S_2:7.3697
5.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:200.8925 L_1:8.8973 L_2:6.8884 M_1:-0.0281 M_2:-0.7504 S_1:8.9114 S_2:7.2636
1.['linear', 'mean', '4', '64', 'tanh', 'cos', 'sum', '4', '256', 'tanh']: feedback:157.9749 L_1:8.6171 L_2:7.0373 M_1:-0.2058 M_2:-0.8304 S_1:8.7200 S_2:7.4525
2.['gcn', 'mean', '4', '64', 'elu', 'gat', 'sum', '6', '128', 'relu6']: feedback:158.1720 L_1:8.6999 L_2:7.1181 M_1:-0.1111 M_2:-0.6954 S_1:8.7554 S_2:7.4658
3.['gcn', 'max', '6', '64', 'elu', 'gat', 'mean', '16', '64', 'relu6']: feedback:170.1633 L_1:8.7297 L_2:7.0280 M_1:-0.0948 M_2:-0.7293 S_1:8.7771 S_2:7.3927
4.['gcn', 'sum', '4', '256', 'tanh', 'generalized_linear', 'sum', '4', '128', 'leaky_relu']: feedback:193.1372 L_1:8.6960 L_2:6.7646 M_1:-0.1232 M_2:-0.7675 S_1:8.7576 S_2:7.1484
5.['gcn', 'sum', '16', '64', 'linear', 'gcn', 'mean', '6', '256', 'relu6']: feedback:190.9815 L_1:8.6936 L_2:6.7838 M_1:-0.1135 M_2:-0.7593 S_1:8.7504 S_2:7.1635
6.['const', 'mean', '4', '256', 'tanh', 'const', 'sum', '4', '64', 'softplus']: feedback:195.9229 L_1:8.7710 L_2:6.8118 M_1:-0.0321 M_2:-0.7691 S_1:8.7871 S_2:7.1964
7.['gat', 'max', '16', '64', 'linear', 'gat', 'mean', '16', '128', 'leaky_relu']: feedback:196.7660 L_1:8.7245 L_2:6.7568 M_1:-0.1042 M_2:-0.7802 S_1:8.7766 S_2:7.1469
8.['gat', 'max', '16', '64', 'linear', 'cos', 'mean', '6', '8', 'elu']: feedback:203.5079 L_1:9.0048 L_2:6.9697 M_1:-0.1748 M_2:-0.8522 S_1:9.0922 S_2:7.3958
9.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:198.0605 L_1:8.8832 L_2:6.9026 M_1:-0.0290 M_2:-0.7438 S_1:8.8977 S_2:7.2745
10.['gcn', 'mean', '6', '256', 'leaky_relu', 'gcn', 'sum', '6', '64', 'tanh']: feedback:184.7715 L_1:8.7128 L_2:6.8651 M_1:-0.1563 M_2:-0.8343 S_1:8.7909 S_2:7.2822
1.['linear', 'mean', '4', '64', 'tanh', 'cos', 'sum', '4', '256', 'tanh']: feedback:157.2753 L_1:8.6057 L_2:7.0329 M_1:-0.2074 M_2:-0.8279 S_1:8.7094 S_2:7.4469
2.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'gat', 'max', '6', '16', 'leaky_relu']: feedback:107.7132 L_1:8.8132 L_2:7.7361 M_1:-0.0363 M_2:-0.5514 S_1:8.8314 S_2:8.0118
3.['cos', 'mean', '6', '64', 'leaky_relu', 'gat', 'max', '4', '32', 'elu']: feedback:154.4225 L_1:8.8177 L_2:7.2734 M_1:-0.0631 M_2:-0.6672 S_1:8.8492 S_2:7.6070
4.['gat', 'mean', '8', '128', 'leaky_relu', 'gcn', 'sum', '16', '128', 'leaky_relu']: feedback:193.6454 L_1:8.7418 L_2:6.8054 M_1:-0.0915 M_2:-0.7843 S_1:8.7876 S_2:7.1975
5.['const', 'mean', '4', '256', 'tanh', 'gat', 'mean', '4', '64', 'leaky_relu']: feedback:198.9202 L_1:8.7097 L_2:6.7205 M_1:-0.1264 M_2:-0.7830 S_1:8.7729 S_2:7.1120
6.['gcn', 'mean', '8', '128', 'elu', 'const', 'max', '8', '256', 'relu6']: feedback:189.1545 L_1:8.7801 L_2:6.8886 M_1:-0.0368 M_2:-0.7326 S_1:8.7985 S_2:7.2549
7.['gat', 'max', '4', '256', 'tanh', 'generalized_linear', 'max', '16', '8', 'leaky_relu']: feedback:164.6351 L_1:8.8326 L_2:7.1863 M_1:-0.0184 M_2:-0.6717 S_1:8.8418 S_2:7.5221
8.['const', 'max', '16', '64', 'linear', 'const', 'max', '16', '64', 'linear']: feedback:200.3271 L_1:8.8978 L_2:6.8946 M_1:-0.0240 M_2:-0.7485 S_1:8.9099 S_2:7.2688
9.['const', 'mean', '16', '128', 'relu6', 'cos', 'sum', '4', '16', 'linear']: feedback:190.3680 L_1:8.8215 L_2:6.9178 M_1:-0.1800 M_2:-0.8137 S_1:8.9115 S_2:7.3246
10.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:188.3884 L_1:8.6906 L_2:6.8068 M_1:-0.1756 M_2:-0.8698 S_1:8.7784 S_2:7.2417
1.['linear', 'max', '2', '128', 'leaky_relu', 'cos', 'sum', '16', '16', 'leaky_relu']: feedback:159.1468 L_1:8.8434 L_2:7.2520 M_1:-0.0906 M_2:-0.7219 S_1:8.8887 S_2:7.6129
2.['generalized_linear', 'mean', '2', '64', 'linear', 'gat', 'max', '8', '16', 'linear']: feedback:151.3060 L_1:8.8620 L_2:7.3489 M_1:-0.0460 M_2:-0.6392 S_1:8.8850 S_2:7.6685
3.['const', 'max', '4', '128', 'tanh', 'const', 'sum', '1', '128', 'tanh']: feedback:120.0986 L_1:8.6746 L_2:7.4736 M_1:-0.1545 M_2:-0.6597 S_1:8.7519 S_2:7.8035
4.['cos', 'sum', '4', '64', 'tanh', 'generalized_linear', 'sum', '2', '64', 'linear']: feedback:138.0511 L_1:8.6155 L_2:7.2350 M_1:-0.2310 M_2:-0.7330 S_1:8.7310 S_2:7.6015
5.['generalized_linear', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:177.4500 L_1:8.7028 L_2:6.9283 M_1:-0.1633 M_2:-0.8344 S_1:8.7844 S_2:7.3455
6.['gcn', 'mean', '8', '32', 'linear', 'const', 'sum', '6', '64', 'tanh']: feedback:173.8374 L_1:8.6335 L_2:6.8951 M_1:-0.1997 M_2:-0.8527 S_1:8.7334 S_2:7.3215
7.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:186.3029 L_1:8.6741 L_2:6.8110 M_1:-0.1824 M_2:-0.8694 S_1:8.7653 S_2:7.2457
8.['gcn', 'mean', '8', '128', 'elu', 'const', 'max', '8', '256', 'relu6']: feedback:188.0149 L_1:8.7796 L_2:6.8995 M_1:-0.0377 M_2:-0.7347 S_1:8.7985 S_2:7.2668
9.['const', 'mean', '16', '256', 'relu6', 'gat', 'mean', '4', '64', 'tanh']: feedback:187.9713 L_1:8.6794 L_2:6.7997 M_1:-0.1828 M_2:-0.8337 S_1:8.7708 S_2:7.2165
10.['generalized_linear', 'sum', '8', '32', 'leaky_relu', 'linear', 'sum', '6', '16', 'leaky_relu']: feedback:161.3016 L_1:8.8350 L_2:7.2220 M_1:-0.0989 M_2:-0.7238 S_1:8.8844 S_2:7.5839
1.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'sum', '6', '32', 'leaky_relu']: feedback:150.4119 L_1:8.7706 L_2:7.2664 M_1:-0.0956 M_2:-0.7228 S_1:8.8183 S_2:7.6279
2.['gat_sym', 'mean', '8', '64', 'relu6', 'gat', 'sum', '4', '16', 'elu']: feedback:175.8727 L_1:8.8408 L_2:7.0821 M_1:-0.1587 M_2:-0.8051 S_1:8.9201 S_2:7.4846
3.['const', 'sum', '16', '32', 'softplus', 'cos', 'mean', '4', '8', 'elu']: feedback:159.3699 L_1:9.0373 L_2:7.4436 M_1:-0.0758 M_2:-0.7508 S_1:9.0752 S_2:7.8190
4.['gat', 'max', '16', '64', 'linear', 'gat', 'mean', '16', '64', 'softplus']: feedback:-0.0086 L_1:8.8029 L_2:8.8030 M_1:-0.0003 M_2:-0.0000 S_1:8.8030 S_2:8.8030
5.['const', 'mean', '4', '16', 'leaky_relu', 'cos', 'sum', '4', '64', 'tanh']: feedback:133.7877 L_1:8.6875 L_2:7.3496 M_1:-0.1765 M_2:-0.7968 S_1:8.7758 S_2:7.7480
1.['gcn', 'mean', '6', '256', 'leaky_relu', 'gat', 'sum', '4', '256', 'tanh']: feedback:174.7363 L_1:8.6656 L_2:6.9183 M_1:-0.1607 M_2:-0.8093 S_1:8.7460 S_2:7.3229
2.['generalized_linear', 'mean', '8', '32', 'leaky_relu', 'generalized_linear', 'sum', '6', '16', 'relu6']: feedback:153.0835 L_1:8.8267 L_2:7.2959 M_1:-0.0881 M_2:-0.7006 S_1:8.8708 S_2:7.6462
3.['gat_sym', 'mean', '4', '32', 'linear', 'gat_sym', 'sum', '4', '128', 'relu6']: feedback:127.5588 L_1:8.7101 L_2:7.4346 M_1:-0.1151 M_2:-0.6219 S_1:8.7677 S_2:7.7455
4.['generalized_linear', 'mean', '8', '128', 'leaky_relu', 'gcn', 'sum', '16', '16', 'leaky_relu']: feedback:185.6230 L_1:8.8389 L_2:6.9827 M_1:-0.0920 M_2:-0.7727 S_1:8.8849 S_2:7.3690
5.['generalized_linear', 'mean', '16', '64', 'elu', 'gcn', 'mlp', '1', '64', 'tanh']: feedback:112.3433 L_1:8.7813 L_2:7.6578 M_1:-0.0753 M_2:-0.5194 S_1:8.8189 S_2:7.9176
1.['gcn', 'mean', '6', '256', 'leaky_relu', 'gat', 'max', '16', '128', 'tanh']: feedback:203.1104 L_1:8.8829 L_2:6.8518 M_1:-0.0272 M_2:-0.7527 S_1:8.8965 S_2:7.2282
2.['generalized_linear', 'mean', '2', '64', 'linear', 'gcn', 'sum', '8', '256', 'tanh']: feedback:157.7334 L_1:8.6266 L_2:7.0493 M_1:-0.1942 M_2:-0.8383 S_1:8.7237 S_2:7.4684
3.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:187.2748 L_1:8.6873 L_2:6.8146 M_1:-0.1818 M_2:-0.8682 S_1:8.7782 S_2:7.2487
4.['cos', 'max', '1', '128', 'leaky_relu', 'gat_sym', 'mean', '16', '8', 'elu']: feedback:176.0089 L_1:8.9893 L_2:7.2293 M_1:-0.1424 M_2:-0.8430 S_1:9.0606 S_2:7.6508
5.['gat_sym', 'max', '16', '64', 'linear', 'gat_sym', 'mean', '16', '64', 'linear']: feedback:190.5108 L_1:8.6879 L_2:6.7828 M_1:-0.1769 M_2:-0.8643 S_1:8.7764 S_2:7.2150
1.['gcn', 'mean', '6', '256', 'leaky_relu', 'gat', 'sum', '4', '128', 'tanh']: feedback:175.2453 L_1:8.6770 L_2:6.9245 M_1:-0.1604 M_2:-0.8177 S_1:8.7571 S_2:7.3334
2.['gcn', 'mean', '8', '64', 'linear', 'gat', 'mean', '8', '16', 'relu6']: feedback:183.0237 L_1:8.8019 L_2:6.9717 M_1:-0.1037 M_2:-0.7291 S_1:8.8538 S_2:7.3362
3.['gat_sym', 'max', '6', '256', 'linear', 'gat', 'mlp', '6', '32', 'tanh']: feedback:167.1531 L_1:8.8533 L_2:7.1817 M_1:-0.0241 M_2:-0.7729 S_1:8.8653 S_2:7.5682
4.['generalized_linear', 'max', '2', '128', 'relu6', 'generalized_linear', 'sum', '8', '64', 'relu6']: feedback:150.2314 L_1:8.7398 L_2:7.2375 M_1:-0.0987 M_2:-0.7006 S_1:8.7891 S_2:7.5878
5.['gat_sym', 'max', '16', '64', 'linear', 'gat_sym', 'mean', '16', '64', 'linear']: feedback:191.2727 L_1:8.7091 L_2:6.7964 M_1:-0.1742 M_2:-0.8570 S_1:8.7963 S_2:7.2249
1.['const', 'mean', '16', '256', 'relu6', 'generalized_linear', 'sum', '4', '64', 'tanh']: feedback:191.7804 L_1:8.6861 L_2:6.7682 M_1:-0.1813 M_2:-0.8740 S_1:8.7767 S_2:7.2053
2.['gat', 'mean', '16', '32', 'tanh', 'gat', 'mean', '16', '32', 'leaky_relu']: feedback:191.7757 L_1:8.7534 L_2:6.8356 M_1:-0.1065 M_2:-0.7547 S_1:8.8066 S_2:7.2129
3.['gat', 'max', '4', '128', 'relu6', 'generalized_linear', 'mean', '16', '16', 'elu']: feedback:193.3034 L_1:8.8378 L_2:6.9048 M_1:-0.1730 M_2:-0.8805 S_1:8.9243 S_2:7.3450
4.['gat', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:199.9362 L_1:8.8861 L_2:6.8867 M_1:-0.0289 M_2:-0.7469 S_1:8.9005 S_2:7.2602
5.['cos', 'mean', '2', '256', 'relu6', 'const', 'sum', '16', '128', 'tanh']: feedback:186.6427 L_1:8.6778 L_2:6.8114 M_1:-0.1717 M_2:-0.8794 S_1:8.7636 S_2:7.2511
6.['linear', 'sum', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:192.8570 L_1:8.6411 L_2:6.7126 M_1:-0.2238 M_2:-0.8731 S_1:8.7530 S_2:7.1491
7.['generalized_linear', 'max', '4', '64', 'tanh', 'const', 'sum', '6', '32', 'elu']: feedback:170.4850 L_1:8.7290 L_2:7.0242 M_1:-0.1661 M_2:-0.8036 S_1:8.8121 S_2:7.4260
8.['gat', 'max', '16', '64', 'linear', 'gat', 'mean', '16', '64', 'elu']: feedback:188.9857 L_1:8.6775 L_2:6.7876 M_1:-0.1731 M_2:-0.8660 S_1:8.7640 S_2:7.2206
9.['const', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:202.5877 L_1:8.8841 L_2:6.8582 M_1:-0.0252 M_2:-0.7588 S_1:8.8967 S_2:7.2376
10.['generalized_linear', 'max', '16', '64', 'linear', 'linear', 'max', '16', '64', 'linear']: feedback:197.5636 L_1:8.8800 L_2:6.9043 M_1:-0.0295 M_2:-0.7414 S_1:8.8947 S_2:7.2750
1.['gcn', 'mean', '6', '256', 'leaky_relu', 'gat', 'sum', '4', '128', 'tanh']: feedback:174.8807 L_1:8.6698 L_2:6.9210 M_1:-0.1593 M_2:-0.8228 S_1:8.7494 S_2:7.3324
2.['generalized_linear', 'max', '2', '256', 'linear', 'gat', 'mean', '4', '256', 'leaky_relu']: feedback:160.9616 L_1:8.7143 L_2:7.1047 M_1:-0.1077 M_2:-0.6989 S_1:8.7682 S_2:7.4541
3.['cos', 'sum', '4', '128', 'tanh', 'linear', 'mlp', '4', '8', 'linear']: feedback:137.3275 L_1:8.8273 L_2:7.4540 M_1:-0.0114 M_2:-0.7193 S_1:8.8330 S_2:7.8136
4.['gat', 'max', '8', '64', 'relu6', 'gat', 'mean', '6', '64', 'tanh']: feedback:174.3625 L_1:8.7096 L_2:6.9660 M_1:-0.1611 M_2:-0.8489 S_1:8.7902 S_2:7.3905
5.['gat_sym', 'mean', '8', '64', 'linear', 'gcn', 'sum', '6', '64', 'tanh']: feedback:175.9584 L_1:8.6687 L_2:6.9091 M_1:-0.1912 M_2:-0.8369 S_1:8.7643 S_2:7.3275
1.['const', 'mean', '8', '32', 'sigmoid', 'generalized_linear', 'sum', '4', '32', 'tanh']: feedback:160.5958 L_1:8.3435 L_2:6.7376 M_1:-0.2178 M_2:-0.7748 S_1:8.4524 S_2:7.1250
2.['linear', 'mean', '4', '256', 'relu6', 'gat', 'mean', '4', '16', 'linear']: feedback:190.5422 L_1:8.5219 L_2:6.6165 M_1:-0.1774 M_2:-0.7637 S_1:8.6106 S_2:6.9983
3.['gcn', 'max', '6', '64', 'linear', 'gat_sym', 'sum', '8', '64', 'softplus']: feedback:123.6454 L_1:8.4259 L_2:7.1895 M_1:-0.0870 M_2:-0.4955 S_1:8.4694 S_2:7.4372
1.['gat_sym', 'max', '6', '64', 'leaky_relu', 'gat_sym', 'sum', '8', '32', 'linear']: feedback:207.6156 L_1:8.4990 L_2:6.4229 M_1:-0.1294 M_2:-0.8179 S_1:8.6284 S_2:7.2408
2.['gcn', 'sum', '8', '64', 'linear', 'gat_sym', 'mean', '4', '8', 'elu']: feedback:219.7951 L_1:8.6773 L_2:6.4794 M_1:-0.1557 M_2:-0.7777 S_1:8.8330 S_2:7.2571
3.['const', 'max', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:222.7339 L_1:8.4684 L_2:6.2410 M_1:-0.1087 M_2:-0.8615 S_1:8.5771 S_2:7.1025
4.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:157.6289 L_1:8.6252 L_2:7.0489 M_1:-0.0078 M_2:-0.6326 S_1:8.6331 S_2:7.6816
5.['gat', 'max', '6', '64', 'leaky_relu', 'gcn', 'mean', '8', '256', 'leaky_relu']: feedback:185.1817 L_1:8.5003 L_2:6.6484 M_1:-0.0725 M_2:-0.6904 S_1:8.5727 S_2:7.3388
1.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'sum', '6', '32', 'tanh']: feedback:199.3308 L_1:8.4913 L_2:6.4980 M_1:-0.1188 M_2:-0.8192 S_1:8.6101 S_2:7.3172
2.['const', 'sum', '6', '32', 'tanh', 'cos', 'sum', '4', '32', 'tanh']: feedback:202.6875 L_1:8.4062 L_2:6.3793 M_1:-0.1761 M_2:-0.8162 S_1:8.5823 S_2:7.1955
3.['gat_sym', 'mean', '4', '64', 'relu6', 'const', 'sum', '8', '16', 'linear']: feedback:202.6998 L_1:8.5695 L_2:6.5425 M_1:-0.1368 M_2:-0.8016 S_1:8.7063 S_2:7.3442
4.['linear', 'sum', '6', '32', 'relu6', 'linear', 'mean', '6', '16', 'elu']: feedback:204.3717 L_1:8.5512 L_2:6.5074 M_1:-0.1471 M_2:-0.8079 S_1:8.6982 S_2:7.3153
5.['gat', 'max', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:223.0680 L_1:8.4543 L_2:6.2236 M_1:-0.1280 M_2:-0.8429 S_1:8.5823 S_2:7.0665
